DAY,TIME,INSWRAD,AVP,AIRTEMP,WINDSPD,L_STAR,REL_HUM
177,100,120,719,7.21,3.474,156,0.850775
177,200,150,649,6.92,2.839,142,0.867466833
177,300,150,619,6.26,3.198,143,0.879960833
177,400,150,621,5.431,4.021,144,0.879954333
177,500,150,616,6.223,0.96,145,0.884772667
177,600,123,626,7.09,1.55,146,0.885759833
177,700,232.9,660,7.64,0,147,0.859102167
177,800,357.8,786,9.57,0.464,148,0.853054667
177,900,479.7,983,9.38,0.848,149,0.8331365
177,1000,407,1000,8.59,1.841,150,0.8077155
177,1100,555.1,1024,9.97,1.024,151,0.793349667
177,1200,708,1029,9.84,1.05,-45.33,0.8001965
177,1300,602.4,1046,11.09,1.457,-38.42,0.794903
177,1400,806,1038,11.87,4.817,-42.01,0.825469
177,1500,775,1017,11.68,3.925,-36.36,0.828764
177,1600,715,1040,11.58,1.112,-29.42,0.714480833
177,1700,646.9,1060,11.99,2.022,-24.19,0.726797
177,1800,446.9,1000,11.72,1.563,-24.34,0.767601333
177,1900,397.6,1007,11.07,1.95,-28.85,0.791892333
177,2000,277.9,995,10.97,1.926,-36.95,0.8340745
177,2100,161.7,887,8.67,0.26,-54.75,0.796967
177,2200,64.48,820,7.15,2.607,-38.47,0.842523833
177,2300,14.92,759,6.312,1.323,-36.01,0.877741167
177,2400,2.843,703,5.278,2.411,-26.237,0.902064
178,100,1.572,719,7.21,3.474,-56.475,0.850775
178,200,0.816,649,6.92,2.839,-42.03,0.867466833
178,300,2.317,619,6.26,3.198,-39.269,0.879960833
178,400,7.41,621,5.431,4.021,-60.336,0.879954333
178,500,21.25,616,6.223,0.96,-66.826,0.884772667
178,600,123,626,7.09,1.55,-63.513,0.885759833
178,700,232.9,660,7.64,0,-57.651,0.859102167
178,800,357.8,786,9.57,0.464,-54.25,0.853054667
178,900,479.7,983,9.38,0.848,-67.66,0.8331365
178,1000,407,1000,8.59,1.841,-71.48,0.8077155
178,1100,555.1,1024,9.97,1.024,-67.78,0.793349667
178,1200,708,1029,9.84,1.05,-45.33,0.8001965
178,1300,602.4,1046,11.09,1.457,-38.42,0.794903
178,1400,806,1038,11.87,4.817,-42.01,0.825469
178,1500,775,1017,11.68,3.925,-36.36,0.828764
178,1600,715,1040,11.58,1.112,-29.42,0.714480833
178,1700,646.9,1060,11.99,2.022,-24.19,0.726797
178,1800,446.9,1000,11.72,1.563,-24.34,0.767601333
178,1900,397.6,1007,11.07,1.95,-28.85,0.791892333
178,2000,277.9,995,10.97,1.926,-36.95,0.8340745
178,2100,161.7,887,8.67,0.26,-54.75,0.796967
178,2200,64.48,820,7.15,2.607,-38.47,0.842523833
178,2300,14.92,759,6.312,1.323,-36.01,0.877741167
178,2400,2.843,703,5.278,2.411,-26.237,0.902064
179,100,1.572,719,7.21,3.474,-56.475,0.850775
179,200,0.816,649,6.92,2.839,-42.03,0.867466833
179,300,2.317,619,6.26,3.198,-39.269,0.879960833
179,400,7.41,621,5.431,4.021,-60.336,0.879954333
179,500,21.25,616,6.223,0.96,-66.826,0.884772667
179,600,123,626,7.09,1.55,-63.513,0.885759833
179,700,232.9,660,7.64,0,-57.651,0.859102167
179,800,357.8,786,9.57,0.464,-54.25,0.853054667
179,900,479.7,983,9.38,0.848,-67.66,0.8331365
179,1000,407,1000,8.59,1.841,-71.48,0.8077155
179,1100,555.1,1024,9.97,1.024,-67.78,0.793349667
179,1200,708,1029,9.84,1.05,-45.33,0.8001965
179,1300,602.4,1046,11.09,1.457,-38.42,0.794903
179,1400,806,1038,11.87,4.817,-42.01,0.825469
179,1500,775,1017,11.68,3.925,-36.36,0.828764
179,1600,715,1040,11.58,1.112,-29.42,0.714480833
179,1700,646.9,1060,11.99,2.022,-24.19,0.726797
179,1800,446.9,1000,11.72,1.563,-24.34,0.767601333
179,1900,397.6,1007,11.07,1.95,-28.85,0.791892333
179,2000,277.9,995,10.97,1.926,-36.95,0.8340745
179,2100,161.7,887,8.67,0.26,-54.75,0.796967
179,2200,64.48,820,7.15,2.607,-38.47,0.842523833
179,2300,14.92,759,6.312,1.323,-36.01,0.877741167
179,2400,2.843,703,5.278,2.411,-26.237,0.902064
