DAY,TIME,INSWRAD,AVP,AIRTEMP,WINDSPD,L_STAR,REL_HUM
215,1000,445.5,475.6668626,3.04,4.55,-57.8,0.809663667
215,1100,546.1,460.5977715,3.51,4.66,-65.4,0.784852
215,1200,619.5,461.3232458,3.7,5.47,-64.4,0.7868455
215,1300,670.6,438.1683109,3.73,7.16,-66.1,0.747984333
215,1400,692.2,425.3739399,3.55,7.56,-68.3,0.727156167
215,1500,663.9,422.4871104,3.49,7.87,-68.7,0.722950333
215,1600,616,417.0813457,3.39,8.02,-68.6,0.714605667
215,1700,508.6,415.2402036,3.6,7.17,-68.6,0.712362667
215,1800,428.2,414.7685465,3.57,9.04,-59.4,0.712550833
215,1900,392.6,402.1394784,4.02,9.52,-69.9,0.691929
215,2000,232.9,406.76978,3.75,10.04,-60.8,0.700645
215,2100,104.4,401.4725384,3.54,10.74,-42.9,0.692066833
215,2200,53.9,401.4583095,3.35,11.03,-43.7,0.692439333
215,2300,14.6,409.8820709,3.43,10.65,-15.4,0.707236667
215,2400,3.8,441.9013093,3.31,9.74,-10.9,0.762616833
216,100,0.5,469.915938,3.22,10.09,1,0.8113325
216,200,0,491.1209743,3.05,9.09,8.2,0.847861333
216,300,0,505.546336,2.68,9.29,11.2,0.873029833
216,400,0.4,505.0264624,2.52,9.19,19.6,0.8722455
216,500,15.2,528.932816,2.5,8.2,12.8,0.912980667
216,600,54.9,512.4473062,2.4,7.88,15.9,0.884343333
216,700,97.5,518.5567963,2.55,8.89,12.8,0.895129
216,800,114.9,509.5876882,2.75,8.92,14.6,0.879560833
216,900,150.4,535.2400523,2.87,8.4,16.7,0.923607333
216,1000,135.2,531.6667958,2.85,7.59,16,0.917292333
216,1100,164.7,538.1219384,2.97,6.84,15.1,0.9280175
216,1200,201.6,566.4115521,2.82,5.55,12.5,0.975832667
216,1300,313.3,560.3445083,2.68,5.29,11.7,0.9644625
216,1400,420.7,550.5661548,2.89,5.4,7.7,0.947601333
216,1500,337.6,550.7096925,3.02,5.22,13.9,0.947541333
216,1600,281.9,520.9099623,2.92,4.1,11.8,0.895900833
216,1700,316.9,551.7774531,2.92,4.01,9.4,0.9486205
216,1800,109.6,553.8082302,2.44,4.59,8.6,0.951147167
216,1900,100.8,566.9107681,1.88,4.43,6.4,0.9728115
216,2000,52.1,577.8490196,1.5,4.22,6,0.990749167
216,2100,33.2,580.2189175,1.34,4.3,5.1,0.994192
216,2200,17.1,567.366586,1.29,5.61,1.4,0.971657833
216,2300,16.8,556.2474396,1.4,6.41,-1.6,0.9524005
216,2400,1,552.0535176,1.37,5.34,-2.5,0.944986167
217,100,0,560.9581214,1.33,5.33,-3.9,0.9601875
217,200,0,567.6454008,1.23,5.09,2.5,0.9716445
217,300,0.2,574.3156961,1.18,5.2,4.4,0.983157167
217,400,1.9,582.148865,1.13,4.91,3.8,0.996545167
217,500,10.6,581.2387735,1.1,4.69,4.4,0.995104833
217,600,38.9,571.445418,1.11,3.99,-8.1,0.978748333
217,700,59.2,540.9918789,1.17,4.04,-11.6,0.9272765
217,800,114.2,517.3677012,1.56,4.56,-11.2,0.887758
217,900,160.9,504.7492198,2.05,4.93,-13.1,0.8667685
217,1000,301.4,491.8185323,2.67,4.78,-19.2,0.845119167
